Number of core group members;Number of total group members;Founding year;Future existence of group in doubt;Meetings per month;University group;registered society;CEA Funding
6;12;2017;0;4;1;1;1300
7;14;2016;0;4;0;0;100
40;40;2015;0;2;1;0;0
4;10;2017;0;2;1;0;1
8;10;2018;0;2;1;1;450
7;10;2017;0;0;0;0;0
4;12;2014;1;0;0;0;300
5;10;2017;1;4;1;0;1200
6;12;2018;0;0;1;0;0
8;10;2017;1;1;0;0;0
7;10;2018;0;2;0;0;0
4;7;2018;1;4;0;0;0
5;10;2015;0;4;1;0;1600
5;10;2018;0;2;0;0;0
6;10;2019;0;2;1;0;450
8;8;2017;0;2;0;0;300
10;60;2015;0;2;0;0;500
5;5;2016;0;4;1;0;0
7;11;2015;1;4;1;0;0
3;3;2017;0;2;0;0;0
4;14;2018;0;4;1;0;0
8;20;2016;0;2;0;0;0
3;8;2019;1;2;0;0;0
